0	58	342	267	146	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	428	80
58	0	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
342	99999	0	99999	99999	99999	99999	401	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	387	323
267	99999	99999	0	153	257	99999	178	99999	99999	175	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
146	99999	99999	153	0	99999	275	73	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
99999	99999	99999	257	99999	0	90	99999	206	99999	60	99999	99999	99999	99999	99999	99999	99999	423	99999	99999
99999	99999	99999	99999	275	90	0	99999	148	125	81	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
99999	99999	401	178	73	99999	99999	0	119	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	283	99999
99999	99999	99999	99999	99999	206	148	119	0	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	286	99999
99999	99999	99999	99999	99999	99999	125	99999	99999	0	65	94	169	99999	99999	99999	99999	99999	99999	99999	99999
99999	99999	99999	175	99999	60	81	99999	99999	65	0	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	94	99999	0	99999	99999	99999	49	99999	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	169	99999	99999	0	67	176	99999	99999	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	67	0	99999	99999	301	167	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	176	99999	0	140	99999	205	344	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	49	99999	99999	140	0	99999	99999	309	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	301	99999	99999	0	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	167	205	99999	99999	0	99999	99999	99999
99999	99999	99999	99999	99999	423	99999	99999	99999	99999	99999	99999	99999	99999	344	309	99999	99999	0	99999	99999
428	99999	387	99999	99999	99999	99999	283	286	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	0	99999
80	99999	323	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	0

